__key,lon,lat,Object Number,Restaurant Street address,Restaurant City,State,year opened,year closed,Owner surname(s),Is it in the 1960 Catalog?,pattern,earliest year for artifact,latest year for artifact,Pattern varient,Additional Design,Vessel form,rim diameter (cm),vessel height (in cm),thickness of vessel walls (in mm),thickness of lip (in mm),foot rim diameter (cm),height of foot (in mm),Mark (use letter code sheet),"sticker (use code, 0=none)",volume of cup or teapot in ml,weight (in grams),Additional design
NANKING RESTAURANT,-77.0452913,38.9094481,FSL-190,2002 P Street N. W.,Washington,DC,1955.0,,,,Individualized Logo,,,,Greek Key and Red Dragon,Tea Cup,7.50 cm,5.00 cm,5.66 mm,7.98 mm,4.00 cm,3.00 mm,D,0,100.00 ml,140.23 g,
PEKING RESTAURANT,-77.075368,38.963658,FSL-189,5522 Connecticut Ave. N.W.,Washington,DC,,,,,Women / Characters,,,,"Temple of Heaven, Beijing",Tea Cup,7.50 cm,5.00 cm,5.82 mm,7.88 mm,4.00 cm,3.00 mm,D,0,100.00 ml,138.60 g,
SAMPAN CAFE,-76.99672,38.885242,FSL-191,656 Penn. Ave. S.E.,Washington,DC,,,,,Women / Characters,,,,Black and White Sampan,Tea Cup,7.50 cm,5.00 cm,4.94 mm,6.33 mm,3.50 cm,5.00 mm,C,0,100.00 ml,114.18 g,
GUNG HO RESTAURANT,-77.0505349,38.8986756,FSL-193,4406 G. Street N.W.,Washington,DC,,,,,Dragon and Phoenix,,1983.0,A-IV,,Tea Cup,8.00 cm,5.50 cm,5.53 mm,6.80 mm,4.00 cm,5.00 mm,B,0,120.00 ml,136.70 g,
CHIN'S RESTAURANT,-77.0523762,38.9240658,FSL-195,2614 Connecticut Avenue N.W.,Washington,DC,,,,,Women / Characters,,,,,Tea Cup,8.00 cm,5.00 cm,7.71 mm,7.53 mm,4.00 cm,2.00 mm,D,0,90.00 ml,171.27 g,
TAI TUNG RESTAURANT,-77.0210103,38.9056459,FSL-194,622 M St. N.W.,Washington,DC,1965.0,1990.0,,,Lustre Floral,1965,1990.0,,,Tea Cup,8.00 cm,5.50 cm,5.15 mm,5.41 mm,4.00 cm,3.00 mm,C,0,120.00 ml,127.82 g,
CHINESE LANTERN,-80.9944529,29.19778,FSL-187,2120 S. Atlantic Ave.,Daytona Beach,FL,,,,,Women / Characters,,,,,Tea Cup,8.00 cm,5.00 cm,5.51 mm,7.05 mm,4.00 cm,3.00 mm,D,0,110.00 ml,134.90 g,
GEORGE'S RESTAURANT,-117.02855,46.4039369,FSL-276,,North Lewiston,ID,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,5.68 mm,,5.00 cm,,D,Yes: Japan,,99.13 g,
GOLDEN DRAGON,-116.2035244,43.6139395,FSL-391,1042 W. Highland Ave.,San Bernardino,CA,,,,yes,Custom / Misc Pattern,,,0,Golden Dragon; 2 Chinese characters at the right of address; 2 Chinese characters at the left of address,Ash Tray,,,,,,,D,0,,,Free Parking; food to go; Phone TU-3-3719
SHANGHAI CAFE,-112.4467064,42.8642856,FSL-273,,Pocatello,ID,,,,,Dragon and Phoenix,,1983.0,A-V ,,Tea Cup,7.50 cm,5.50 cm,4.56 mm,6.79 mm,3.5 cm,5.0 mm,B,0,110 ml,107.71 g,
HONG KONG RESTAURANT,-88.2576394,40.1305757,FSL-138,,Champaign,IL,,,,,Women / Characters,,,,,Plate,16.00 cm,2.00 cm,4.09 mm,,9.50 cm,,A,0,,211.36 g,
HONG KONG RESTAURANT,-88.2576394,40.1305757,FSL-148,3011 Amarillo Blvd. on Highway 66 & 60,Amarillo,TX,1955.0,1992.0,Jew/Chew,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.47 mm,,5.00 cm,,D,0,,91.89 g,
HONG KONG RESTAURANT,-88.2576394,40.1305757,FSL-287,New Chinatown,Los Angeles ,CA,,,,,Dragon and Phoenix,,1983.0,A-IV,Chinese Characters,Bowl,7.52 cm,5.2cm,4.6 mm,6.9 mm,3.75 cm,2 mm,B,0,96 ml,126.5,
HONG KONG RESTAURANT,-88.2576394,40.1305757,FSL-389,27139 Chagrin Blvd.,Cleveland,OH,,,,,God of Longevity,,,GL I,3 Chinese characters at right side of address,Ash Tray,,,,,,,E,0,,,Orders to go; Phone 831-1818 (smudged)
JIMMY WONG'S,-87.6265419,41.8763133,FSL-134,,Chicago,IL,1957.0,1997.0,,,Dragon and Phoenix,,1983.0,A-III,Smiling Buddha,Tea Cup,7.50 cm,5.00 cm,7.77 mm,5.49 mm,4.00 cm,2.00 mm,D,0,110.00 ml,137.95 g,
RICE BOWL,-87.6569822,41.9646763,FSL-141,4539 Broadway,Chicago,IL,,,,yes,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,5.40 mm,,5.00 cm,,G,0,,99.79 g,
RICE BOWL,-87.6569822,41.9646763,FSL-281,,Bakerfield [sic],CA,,,,yes,Dragon and Phoenix,1983,,,Chinese characters,Bowl,7.76 cm,5.52 cm,6.50 mm,7.1 mm,3.80 cm,4.5 mm,C,no,113 ml,140.48,
SOUTH PACIFIC RESTAURANT,-87.6288622,41.8844844,FSL-131,28-30 W. Randolph St,Chicago,IL,1954.0,1981.0,,,Women / Characters,,,,,Tea Cup,8.00 cm,5.50 cm,6.35 mm,7.96 mm,5.00 cm,5.00 mm,G,0,120.00 ml,156.55 g,
SOUTH PACIFIC RESTAURANT,-87.6288622,41.8844844,FSL-132,28-30 W. Randolph St,Chicago,IL,1954.0,1981.0,,,Women / Characters,,,,,Tea Cup,8.00 cm,5.00 cm,7.98 mm,8.35 mm,4.00 cm,2.00 mm,D,0,90.00 ml,183.45 g,
SOUTH PACIFIC RESTAURANT,-87.6288622,41.8844844,FSL-136,28-30 W. Randolph St,Chicago,IL,1954.0,1981.0,,,Women / Characters,,,,,Tea Cup,8.00 cm,5.50 cm,6.57 mm,7.96 mm,4.00 cm,6.00 cm,G,0,110.00 ml,148.47 g,
SOUTH PACIFIC RESTAURANT,-87.6288622,41.8844844,FSL-137,28-30 W. Randolph St,Chicago,IL,1954.0,1981.0,,,Women / Characters,,,,,Saucer,12.50 cm,2.00 cm,4.67 mm,,7.00 cm,,D,0,,155.19 g,
SOUTH PACIFIC RESTAURANT,-87.6288622,41.8844844,FSL-407,28-30 W. Randolf St.,Chicago,IL,,,,,Women / Characters,,,TW I,6 Chinese characters below address,Saucer,,,,,,,D,0,,,
YOUNG SING RESTAURANT,-87.6428127,41.9291293,FSL-135,2806 N.Clark St.,Chicago,IL,,,,,Women / Characters,,,,,Tea Cup,7.50 cm,5.00 cm,4.97 mm,7.22 mm,4.00 cm,3.00 cm,B,0,110.00 ml,136.06 g,
LOTUS GARDEN,-86.1188557,39.8368801,FSL-149,Indianapolis: 4424 Allisonville Road,Indianopolis and Greenwood,IN,1965.0,1999.0,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.45 mm,,5.00 cm,,G,Yes: Japan,,91.04 g,
24/66 RESTAURANT,-98.116851,39.4812532,FSL-158,US 24 Highway & K14,Beloit,KS,,,,,God of Longevity,,,,"Arrow Shape Separating 24 and 66, Like a Neon Sign",Ash Tray,10.00 cm,2.50 cm,6.03 mm,,5.00 cm,,D,0,,103.19 g,
KIM'S STEAK HOUSE,-97.6125558,38.8109892,FSL-157,1839 South Ninth,Salina,KS,1953.0,1982.0,,,Individualized Logo,,,,Picture of a Steaming Steak and Restuarant Name in Cocktail Napkin Style Circle,Ash Tray,10.00 cm,2.50 cm,7.75 mm,,5.00 cm,,G,0,,99.94 g,
ALBERT'S,-97.2611126,37.6786428,FSL-411,6425 E Kellogg,Wichita ,KA,,,,yes,Women / Characters,,,TW I,,Tea Cup,,,,,,,J,0,,,
BOB LEE'S LANTERN HOUSE,-71.0605693,42.3507412,FSL-200,20 Tyler St. ,Boston ,MA,1952.0,1960.0,,,Individualized Logo,,,,Red Dragon,Tea Cup,7.50 cm,5.00 cm,5.89 mm,7.84 mm,4.00 cm,3.00 mm,B,0,100.00 ml,144.20 g,
GAMSUN,-71.0602927,42.3506127,FSL-204,21 Hudson Street,Boston ,MA,1940.0,1962.0,,,Women / Characters,,,,Mountain with a Sky Pagoda and Palm Tree,Tea Cup,8.00 cm,5.50 cm,5.77 mm,7.79 mm,4.00 cm,3.00 mm,B,0,120.00 ml,152.57 g,
MARK YOU RESTAURANT,-71.136241,41.6926971,FSL-201,1236 Pleasant St.,Fall River ,MA,,,,,Dragon and Phoenix,,1983.0,A-VIII,"Man in ""Traditional Garb"" Holding a Bowl",Tea Cup,8.00 cm,5.50 cm,5.63 mm,7.31 mm,4.00 cm,3.00 mm,B,0,120.00 ml,144.34 g,
TAI HONG RESTAURANT,-70.9644089,42.4873088,FSL-202,Lynnfield St.,Lynn,MA,,,,,Women / Characters,,,,Tall Pagoda/Tower,Tea Cup,8.00 cm,5.50 cm,6.03 mm,7.89 mm,4.00 cm,3.00 mm,B,0,120.00 ml,146.90 g,
MING CHOW'S RESTAURANT,-71.0085664,42.3871416,FSL-206,964 Saratoga St.,Orient HGHTS East Boston,MA,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.72 mm,,5.00 cm,,C,0,,90.30 g,
CATHAY CITY,-71.0443795,42.1669012,FSL-207,266 N. Main St. Route 28,Randolph,MA,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,6.27 mm,,5.00 cm,,D,0,,110.42 g,
HO SAI GAI,-71.152289,42.3037437,FSL-205,1020 W. Roxbury Pkwy.,South Brookline,MA,,,,,Dragon and Phoenix,,1983.0,A-VIII,Woman in Imperial Dress Holding a Tray,Tea Cup,8.00 cm,5.50 cm,5.97 mm,8.25 mm,4.00 cm,3.00 mm,B,0,120.00 ml,142.96 g,
THE CHIN'S,-71.1871989,42.2223926,FSL-203,190 Washington St.,Westwood,MA,,,,,God of Longevity,,,,"Sampan on Water, Line of People in Front ",Tea Cup,8.00 cm,5.50 cm,5.71 mm,6.79 mm,4.00 cm,6.00 mm,D,0,120.00 ml,138.57 g,
JIMMY WU'S NEW CHINA INN,-76.6172029,39.3171449,FSL-166,2430 North Charles Street,Baltimore,MD,1948.0,1983.0,,,Women / Characters,,,,Face,Tea Cup,8.00 cm,5.00 cm,5.23 mm,6.48 mm,4.00 cm,3.00 mm,B,0,110.00 ml,144.06 g,
JIMMY WU'S NEW CHINA INN,-76.6172029,39.3171449,FSL-167,2430 North Charles Street,Baltimore,MD,1948.0,1983.0,,,Women / Characters,,,,,Tea Cup,8.00 cm,5.50 cm,6.13 mm,6.48 mm,4.00 cm,5.00 mm,H,0,130.00 ml,138.92 g,
JIMMY WU'S NEW CHINA INN,-76.6172029,39.3171449,FSL-168,2430 North Charles Street,Baltimore,MD,1948.0,1983.0,,,Women / Characters,,,,,Tea Cup,8.00 cm,5.50 cm,6.30 mm,6.66 mm,4.00 cm,5.00 mm,H,0,130.00 ml,142.51 g,
JIMMY WU'S NEW CHINA INN,-76.6172029,39.3171449,FSL-171,2430 North Charles Street,Baltimore,MD,1948.0,1983.0,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,6.12 mm,,5.00 cm,,E,0,,106.85 g,
NEW SEA GIRT INN,-76.5326533,39.1700362,FSL-326,8015 Fort Smallwood,Baltimore,MD,,,,,Bird and Flower,,,BF III,4 Chinese characters above address,Saucer,,,,,,,E,0,,,
NEW SEA GIRT INN,-76.5326533,39.1700362,FSL-385,8044 Fort Smallwood Rd.,Baltimore,MD,,,,,Bird and Flower,,,BF III,4 Chinese characters above address,Ash Tray,,,,,,,D,0,,,Phone CL-5-6556
NEW SEA GIRT INN,-76.5326533,39.1700362,FSL-386,8044 Fort Smallwood Rd.,Baltimore,MD,,,,,Bird and Flower,,,BF III,4 Chinese characters above address,Ash Tray,,,,,,,D,0,,,Phone CL-5-6556
BILL WOO CHOP SUEY,-82.934631,42.4040153,FSL-144,16618 E. Warren Ave. ,Detroit,MI,,,,,Women / Characters,,,,,Tea Cup,8.00 cm,5.00 cm,5.16 mm,6.42 mm,4.00 cm,3.00 cm,B,0,110.00 ml,143.30 g,
EVERGREEN GARDENS,-83.2438333,42.4296459,FSL-143,20430 W. Seven Mile Rd.,Detroit,MI,,,,,Women / Characters,,,,,Tea Cup,8.00 cm,5.00 cm,5.42 mm,7.10 mm,4.00 cm,3.00 cm,B,0,110.00 ml,138.19 g,
EVERGREEN GARDENS,-83.2438333,42.4296459,FSL-145,20430 W. Seven Mile Rd.,Detroit,MI,,,,,Women / Characters,,,,,Saucer,12.50 cm,2.00 cm,4.53 mm,,7.00 cm,,B,0,,143.96 g,
PEKIN PAVILION,-82.998836,42.349111,FSL-142,7437 E. Jefferson Ave.,Detroit,MI,,,,,Women / Characters,,,,,Tea Cup,8.00 cm,5.00 cm,4.95 mm,6.73 mm,4.00 cm,3.00 cm,B,0,110.00 ml,129.42 g,
CHU WAH RESTAURANT AND LOUNGE,-90.2250112,38.6355848,FSL-161,9628 Olive St. Road,St. Louis,MO,1970.0,,,,Individualized Logo,,,,"""Traditionally"" Dressed Character with Hat and Queue Holding a Tray of Food and a Tray of Drinks",Ash Tray,10.00 cm,2.50 cm,5.33 mm,,5.00 cm,,D,0,,85.92 g,
CANTON CAFE,-78.6454146,35.7809457,FSL-021,S. W. Emigrant at 5th,Pendleton,OR,1960.0,1975.0,,yes,Bird and Flower,,,B-III,,Tea Cup,8,5.00 cm,6.00 mm,7.46 mm,4.00 cm,2.00 mm,D,0,110.00 ml,150.00 g,
CANTON CAFE,-78.6454146,35.7809457,FSL-041,205 S.G St. ,Aberdeen,WA,1950.0,2025.0,,yes,Dragon and Phoenix,1950,1983.0,A-VII,,Tea Cup,7.50 cm,5.00 cm,5.20 mm,6.50 mm,4.00 cm,5.00 mm,C,0,110.00 ml,125.50 g,
CANTON CAFE,-78.6454146,35.7809457,FSL-160,408 Hillsboro,Raleigh,NC,1969.0,1996.0,,yes,Dragon and Phoenix,,,I-*,Two Figures and an Incense Burner,Tea Cup,8.00 cm,5.00 cm,6.49 mm,8.76 mm,4.00 cm,3.00 mm,D,0,110.00 ml,141.70 g,
CANTON CAFE,-78.6454146,35.7809457,FSL-288,2550 Washington Blvd. ,Ogden,WA,,,,yes,Dragon and Phoenix,,1983.0,A-V,Chinese characters,Bowl,7.58 cm,5.32. cm,5.47 mm,6.5 mm,3.21 cm,4.5 mm,B,0,95 ml,117,
CANTON CAFE,-78.6454146,35.7809457,FSL-299,205 South G St.,Aberdeen,WA,1959.0,2025.0,,yes,Dragon and Phoenix,1950,1983.0,DPIV,,Tea Cup,7.4 cm,5.2 cm,5.2 mm,6.95 mm,3.2 cm,2 mm,K,0,106 ml,127.1 g,
CANTON CAFE,-78.6454146,35.7809457,FSL-403,205 South G St.,Aberdeen ,WA,1959.0,2025.0,,yes,Dragon and Phoenix,1950,1983.0,DP IV,3 red Chinese characters inside of cup,Tea Cup,,,,,,,B,0,,,
ORIENTAL RESTAURANT,-78.8997245,35.9951625,FSL-282,116 E. Parrish St. ,Durham,NC,,,,,Bird and Flower,,,B-III,pagoda tower and chinese characters,Bowl,7.75 cm ,5.1 cm,8.1 mm,8.1 mm,4.00 cm,2.0 mm,D,no,98 ml,173.02,
ORIENTAL RESTAURANT,-78.8997245,35.9951625,FSL-399,209 Exchange St.,Bangor,ME,,,,,Dragon and Phoenix,,1983.0,DP IV,3 Chinese characters to right of address,Tea Cup,,,,,,,B,0,,,Foods To Take Out; Phone 3253
ORIENTAL RESTAURANT,-78.8997245,35.9951625,FSL-401,209 Exchange St.,Bangor,ME,,,,,Dragon and Phoenix,,1983.0,DP IV,3 Chinese characters to right of address,Tea Cup,,,,,,,B,0,,,Foods To Take Out; Phone 3253
CHINA HOUSE,-71.4630952,42.993225,FSL-174,1044 Elm Street,Manchester,NH,1968.0,,,,Bird and Flower,,,B-III,chinese woman with modern hair/dress,Tea Cup,7.50 cm,5.00 cm,8.82 mm,7.89 mm,4.00 cm,2.00 mm,D,0,90.00 ml,184.93 g,
NEW CHINA INN,-103.1960904,34.3983335,FSL-164,803 E. First St. Olovis ,,NM,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,6.26 mm,,5.00 cm,,D,0,,100.07 g,
CHIN'S PAGODA RESTAURANT,-81.5654526,41.502776,FSL-151,2092 Lee Road,Cleveland,OH,,,,,Women / Characters,,,,Tall Pagoda in Front of a Cloud or Rock,Tea Cup,7.50 cm,5.00 cm,5.27 mm,6.28 mm,4.00 cm,3.00 cm,B,0,110.00 ml,143.95 g,
CHIN'S PAGODA RESTAURANT,-81.5654526,41.502776,FSL-152,2092 Lee Road,Cleveland,OH,,,,,Women / Characters,,,,Tall Pagoda in Front of a Cloud or Rock,Saucer,12.50 cm,2.00 cm,4.74 mm,,6.50 cm,,B,0,,150.87 g,
CHIAM RESTAURANT,-81.7861566,41.4317044,FSL-153,6857 W. 136th. St.,Parma Heights,OH,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,5.13 mm,,5.00 cm,,C,0,,91.86 g,
CHINESE VILLAGE,-122.5787136,45.5186786,FSL-004,520 S. E. 82nd Ave.,Portland,OR,1949.0,2018.0,"Jim Chin, Wm. H. Chinn and Tom N. Low",yes,Women / Characters,,,,,Tea Cup,8,5.50 cm,6.00 mm,7.00 mm,4.00 cm,5.00 mm,G,0,110.00 ml,154.00 g,
CHINESE VILLAGE,-122.5787136,45.5186786,FSL-007,520 S. E. 82nd Ave.,Portland,OR,1949.0,2018.0,"Jim Chin, Wm. H. Chinn and Tom N. Low",yes,Women / Characters,,,,,Tea Cup,8,5.00 cm,5.55 mm,8.00 mm,4.00 cm,3.00 mm,D,0,100.00 ml,143.00 g,
CHINESE VILLAGE,-122.5787136,45.5186786,FSL-010,520 S. E. 82nd Ave.,Portland,OR,1949.0,2018.0,"Jim Chin, Wm. H. Chinn and Tom N. Low",yes,Women / Characters,,,,,Tea Cup,8,5.50 cm,6.33 mm,7.00 mm,4.00 cm,5.00 mm,G,0,110.00 ml,141.00 g,
CHINESE VILLAGE,-122.5787136,45.5186786,FSL-028,520 S. E. 82nd Ave.,Portland,OR,1949.0,2018.0,"Jim Chin, Wm. H. Chinn and Tom N. Low",yes,Bird and Flower,,,,,Vase,8,21.00 cm,5.13 mm,10.00 mm,8.50 cm,,B,0,900.00 ml,652.00 g,
CHINESE VILLAGE,-122.5787136,45.5186786,FSL-030,520 S. E. 82nd Ave.,Portland,OR,1949.0,2018.0,"Jim Chin, Wm. H. Chinn and Tom N. Low",yes,Women / Characters,,,,,Tea Pot,6.5,14.00 cm,,,8.50 cm,,D,0,600.00 ml ,572.50 g,
CHINESE VILLAGE,-122.5787136,45.5186786,FSL-033,520 S. E. 82nd Ave.,Portland,OR,1949.0,2018.0,"Jim Chin, Wm. H. Chinn and Tom N. Low",yes,God of Longevity,,,,,Ash Tray,10,2.50 cm,5.59 mm,5.59 mm,5.00 cm,,D,0,,94.00 g,
CHINESE VILLAGE,-122.5787136,45.5186786,FSL-036,520 S. E. 82nd Ave. ,Portland,OR,1949.0,2018.0,"Jim Chin, Wm. H. Chinn and Tom N. Low",yes,God of Longevity,,,,,Ash Tray,10,2.50 cm,4.61 mm,4.46 mm,5.00 cm,,D,Yes: Japan,,88.88 g,
CHINESE VILLAGE,-122.5787136,45.5186786,FSL-029,520 S. E. 82nd Ave.,Portland,OR,1949.0,2018.0,"Jim Chin, Wm. H. Chinn and Tom N. Low",yes,Women / Characters,,,,,Plate,8,2.50 cm,4.26 mm,,11.50 cm,,A,0,,348.50 g,
GOLDEN DRAGON RESTAURANT,-122.6732444,45.5218525,FSL-209,1012 Saw Mill Run Blvd.,Pittsburgh,PA,,,,,Women / Characters,,,,"Black and White Dragon, Possibly with a Pearl",Tea Cup,7.50 cm,5.00 cm,6.04 mm,7.93 mm,4.00 cm,3.00 mm,D,0,110.00 ml,143.90 g,
HI HAT RESTAURANT,-122.7394487,45.4435876,FSL-038,11311 S. W. Barbur Blvd.,Portland,OR,1955.0,2011.0,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.31 mm,5.07 mm,5.00 cm,,D,0,,96.00 g,
LOTUS GARDEN,-122.6943311,45.5232169,FSL-149,Indianapolis: 4424 Allisonville Road,Indianopolis and Greenwood,IN,1965.0,1999.0,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.45 mm,,5.00 cm,,G,Yes: Japan,,91.04 g,
NEW CATHAY,-122.5783664,45.5050767,FSL-397,2410 S.E. 82nd Ave.,Portland,OR,,,,,Dragon and Phoenix,,1983.0,DP II,3 red Chinese characters inside cup,Tea Cup,,,,,,,B,0,,,
REPUBLIC CAFE,-122.6742641,45.5249368,FSL-009,222 N. W. 4th. Ave.,Portland,OR,1922.0,2023.0,,yes,Women / Characters,,,,,Tea Cup,8,5.50 cm,6.60 mm,7.50 mm,4.00 cm,3.00 mm,B,0,110.00 ml,152.00 g,
REPUBLIC CAFE,-122.6742641,45.5249368,FSL-016,222 N. W. 4th. Ave.,Portland,OR,1922.0,2023.0,,yes,Women / Characters,,,,,Tea Cup,8,5.00 cm,4.00 mm,6.79 mm,4.00 cm,2.00 mm,B,0,130.00 ml ,121.50 g,
REPUBLIC CAFE,-122.6742641,45.5249368,FSL-291,,Portland,OR,1922.0,2023.0,,yes,Bird and Flower,,,B-I,,Bowl,7.6 cm,4.95,5.1,6.6,3.72,4.5,C,0,108,118.08,
SILK HAT CAFE,-122.6618092,45.514246,FSL-006,5144 N. E. Union Ave.,Portland,OR,1950.0,1975.0,,yes,Individualized Logo,,,,Silk Hat,Tea Cup,8,5.50 cm,5.55 mm,6.00 mm,3.00 cm,5.00 mm,B,0,100.00 ml,142.00 g,
SILK HAT CAFE,-122.6618092,45.514246,FSL-008,5144 N. E. Union Ave.,Portland,OR,1950.0,1975.0,,yes,Individualized Logo,,,,Silk Hat,Tea Cup,8,5.50 cm,6.00 mm,5.60 mm,3.00 cm,5.00 mm,B,0,100.00 ml,140.00 g,
SILK HAT CAFE,-122.6618092,45.514246,FSL-015,5144 N. E. Union Ave.,Portland,OR,1950.0,1979.0,,yes,Individualized Logo,,,,Silk Hat,Tea Cup,8,5.50 cm,5.00 mm,5.50 mm,3.00 cm,3.00 mm,B,0,110.00 ml,139.50 g,
SILK HAT CAFE,-122.6618092,45.514246,FSL-031,5144 N. E. Union Ave.,Portland,OR,1950.0,1975.0,,yes,Individualized Logo,,,,Silk Hat,Tea Pot,6,12.50 cm,,,8.00 cm,,B,0,800.00 ml,422.00 g,
TAI PING TERRACE,-122.7330351,45.4448469,FSL-266,11130 S. W. Barbur Blvd. ,Portland ,OR,1955.0,1962.0,,,Women / Characters,,,,,Tea Cup,7.50 cm,5.00 cm,5.14 mm,6.66 mm,3.50 cm,3.00 mm,B,0,110.00 ml,120.31 g,
TEA GARDEN CAFE,-122.6865686,45.5819393,FSL-020,8112 N. Denver Ave.,Portland,OR,1950.0,1973.0,,yes,Women / Characters,,1973.0,,,Tea Cup,8,5.00 cm,5.73 mm,7.67 mm,4.00 cm,2.00 mm,B,0,110.00 ml,150.00 g,
TEA GARDEN CAFE,-122.6865686,45.5819393,FSL-037,8112 N. Denver Ave.,Portland,OR,1950.0,1973.0,,yes,God of Longevity,,1973.0,,,Ash Tray,10,2.50 cm,6.17 mm,5.41 mm,5.00 cm,,G,0,,108.00 g,
THE PAGODA,-122.6231905,45.5353533,FSL-001,3839 N. E. Broadway,Portland,OR,1939.0,2008.0,,yes,Women / Characters,,,,,Tea Cup,8,5.50 cm,4.00 mm,6.60 mm,4.00 cm,4.00 mm,B,0,120.00 ml,127.00 g,
THE PAGODA,-122.6231905,45.5353533,FSL-019,3839 N. E. Broadway,Portland,OR,1939.0,2008.0,,yes,Women / Characters,,,,,Tea Cup,8,5.00 cm,5.35 mm,6.73 mm,4.00 cm,2.00 mm,B,0,110.00 ml,153.00 g,
THE PAGODA,-122.6231905,45.5353533,FSL-032,N. E. 39th & Sandy,Portland,OR,1939.0,2008.0,,yes,Dragon and Phoenix,,1983.0, ,,Tea Pot,6.5,14.00 cm,,,9.00 cm,,B,0,600.00 ml,497.50 g,
THE PAGODA,-122.6231905,45.5353533,FSL-035,3839 N. E. Broadway,Portland,OR,1939.0,2008.0,,yes,Individualized Logo,,,,Picture of the Restaurant,Ash Tray,10,2.50 cm,4.53 mm,4.77 mm,5.00 cm,,D,0,,96.82 g,
FORMOSA CAFE,-122.6610189,45.576613,FSL-014,7410 N. E. Union Ave.,Portland,OR,1952.0,2015.0,"Tom Fong, William Chin",,Dragon and Phoenix,,1983.0,A-VI,,Tea Cup,8,5.50 cm,6.50 mm,7.63 mm,4.00 cm,5.00 mm,G,0,110.00 ml,158.40 g,
FORMOSA CAFE,-122.6610189,45.576613,FSL-300,7410 N.E. Union Ave.,Portland,OR,1952.0,2015.0,"Tom Fong, William Chin",,Dragon and Phoenix,,1983.0,DPVI,,Tea Cup,7.6 cm,5.4 cm,6.3 mm,7.2 mm,3.7 cm,5 mm,C,0,110 ml,146.9 g,Phone 285-2922 chinese characters below address
PAGODA RESTAURANT,-95.9749523,36.0904469,FSL-162,4971 So. Peoria,Tulsa,OK,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.87 mm,,5.00 cm,,G,0,,90.67 g,
CANTON CAFE,-123.0554477,43.6935284,FSL-021,S. W. Emigrant at 5th,Pendleton,OR,1960.0,1975.0,,yes,Bird and Flower,,,B-III,,Tea Cup,8,5.00 cm,6.00 mm,7.46 mm,4.00 cm,2.00 mm,D,0,110.00 ml,150.00 g,
CANTON CAFE,-123.0554477,43.6935284,FSL-041,205 S.G St. ,Aberdeen,WA,1950.0,2025.0,,yes,Dragon and Phoenix,1950,1983.0,A-VII,,Tea Cup,7.50 cm,5.00 cm,5.20 mm,6.50 mm,4.00 cm,5.00 mm,C,0,110.00 ml,125.50 g,
CANTON CAFE,-123.0554477,43.6935284,FSL-160,408 Hillsboro,Raleigh,NC,1969.0,1996.0,,yes,Dragon and Phoenix,,,I-*,Two Figures and an Incense Burner,Tea Cup,8.00 cm,5.00 cm,6.49 mm,8.76 mm,4.00 cm,3.00 mm,D,0,110.00 ml,141.70 g,
CANTON CAFE,-123.0554477,43.6935284,FSL-288,2550 Washington Blvd. ,Ogden,WA,,,,yes,Dragon and Phoenix,,1983.0,A-V,Chinese characters,Bowl,7.58 cm,5.32. cm,5.47 mm,6.5 mm,3.21 cm,4.5 mm,B,0,95 ml,117,
CANTON CAFE,-123.0554477,43.6935284,FSL-299,205 South G St.,Aberdeen,WA,1959.0,2025.0,,yes,Dragon and Phoenix,1950,1983.0,DPIV,,Tea Cup,7.4 cm,5.2 cm,5.2 mm,6.95 mm,3.2 cm,2 mm,K,0,106 ml,127.1 g,
CANTON CAFE,-123.0554477,43.6935284,FSL-403,205 South G St.,Aberdeen ,WA,1959.0,2025.0,,yes,Dragon and Phoenix,1950,1983.0,DP IV,3 red Chinese characters inside of cup,Tea Cup,,,,,,,B,0,,,
WING'S,-112.0468452,33.4798882,FSL-155,1617 E. Thomas Rd. ,Phoenix,AZ,,,,,Dragon and Phoenix,,,I-*,,Tea Cup,7.50 cm,5.00 cm,3.36 mm,2.38 mm,3.00 cm,4.00 mm,B,0,110.00 ml,78.60 g,
LOO'S RESTAURANT,-114.6251818,32.6891948,FSL-156,,Yuma ,AZ,1950.0,1977.0,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,6.00 mm,,5.00 cm,,D,0,,100.10 g,
JIMMY'S ORIENTAL GARDENS,-119.6986193,34.4221614,FSL-283,,Santa Barbara,CA,1947.0,2006.0,,,Women / Characters,,,C-VII,chinese characters,Bowl,7.55 cm,5.1 cm,8.5 mm,8.1 mm,3.88 cm,2.2 mm,D,no,100 ml,175.59,
